Asset #,Inscription #,Title,Description,Image,To,Inscription Link,deposit address,tokenId,vault owner,name,emblem link
1,642,Litecoin Punk #1 (Inscription 642),Litecoin Punk #1. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. , https://litecoin.earlyordies.com/content/f2b6adf7b2d0f128fb14817ff37f5f36e9176b17571e20c49871875553f937b4i0 ,0x696ed7b26f4B019CEeC78DC8b9140ad64A6f354B,https://litecoin.earlyordies.com/inscription/f2b6adf7b2d0f128fb14817ff37f5f36e9176b17571e20c49871875553f937b4i0,LSDz4fM4mLFyAZVoDuKyMHYq3af6cSZGSY,20281250639577561,0x696ed7b26f4B019CEeC78DC8b9140ad64A6f354B,Litecoin Punk #1 (Inscription #642),https://emblem.finance/nft?id=20281250639577561
2,643,Litecoin Punk #2 (Inscription 643),Litecoin Punk #2. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. , https://litecoin.earlyordies.com/content/1ae451bcb166f64068afac48f1a52de73c1e25412eb544582dc2edda2b50f863i0 ,0x667c8909E9635CB57c23f459ce6928B48bDB1Cf4,https://litecoin.earlyordies.com/inscription/1ae451bcb166f64068afac48f1a52de73c1e25412eb544582dc2edda2b50f863i0,LPh6zXmmgJ7ivwk83ETm1XrCS1TAoB5Lv4,29844513464450941,0x667c8909E9635CB57c23f459ce6928B48bDB1Cf4,Litecoin Punk #2 (Inscription #643),https://emblem.finance/nft?id=29844513464450941
3,644,Litecoin Punk #3 (Inscription 644),Litecoin Punk #3. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/d7f8a20dced73a87933a8db1518faac91a87fff926906fd8093c4b14cedbb2bbi0,0x5c18d25064b9abc166ec38d15408d5569176e8cd,https://litecoin.earlyordies.com/inscription/d7f8a20dced73a87933a8db1518faac91a87fff926906fd8093c4b14cedbb2bbi0,LZr2LrNdDMNDqeJrEWgi4jfR2pQyBs5x8m,70931082235964871,0x5c18d25064b9abc166ec38d15408d5569176e8cd,Litecoin Punk #3 (Inscription #644),https://emblem.finance/nft?id=70931082235964871
4,645,Litecoin Punk #4 (Inscription 645),Litecoin Punk #4. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/f86a86cf5a9986e0d3aad524b39440462a6801b198e5f1cf48e30b0269063334i0,0xBdCeFf23271FE066e605b1CF59229d40B5B6f6f2,https://litecoin.earlyordies.com/inscription/f86a86cf5a9986e0d3aad524b39440462a6801b198e5f1cf48e30b0269063334i0,LMTTtZDucCRASRkqJPdTEyViY12WFn6A9w,63800836303221251,0xBdCeFf23271FE066e605b1CF59229d40B5B6f6f2,Litecoin Punk #4 (Inscription #645),https://emblem.finance/nft?id=63800836303221251
5,646,Litecoin Punk #5 (Inscription 646),Litecoin Punk #5. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/183dde0a51b2716591d5c1b5ce81f1e51d5cd8704855603766fc5399c5d8d1aci0,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,https://litecoin.earlyordies.com/inscription/183dde0a51b2716591d5c1b5ce81f1e51d5cd8704855603766fc5399c5d8d1aci0,LUfJmUCBT2bhYSw3Hhzna7TwmuhdagyHWy,46368632142043261,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,Litecoin Punk #5 (Inscription #646),https://emblem.finance/nft?id=46368632142043261
6,647,Litecoin Punk #6 (Inscription 647),Litecoin Punk #6. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/caf88cf2c4c8cd373acc8524b8efa98d24aaaaab36bcd6c6506077850ff669d8i0,0xfb44496ef7CE7Dc94dA1Ec9F45115C80BBA1778D,https://litecoin.earlyordies.com/inscription/caf88cf2c4c8cd373acc8524b8efa98d24aaaaab36bcd6c6506077850ff669d8i0,LPBxdSXSXJc6YmpmyUGLJWNMSyMMzXAfMS,9925178501475441,0xfb44496ef7CE7Dc94dA1Ec9F45115C80BBA1778D,Litecoin Punk #6 (Inscription #647),https://emblem.finance/nft?id=9925178501475441
7,648,Litecoin Punk #7 (Inscription 648),Litecoin Punk #7. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/035e3640b266a3dd62802605a802df66fc6acbdb590a504cc5f8c2196e53b0a1i0,0x71DE9106a23F91d153510EA95E4E755d2956Cb32,https://litecoin.earlyordies.com/inscription/035e3640b266a3dd62802605a802df66fc6acbdb590a504cc5f8c2196e53b0a1i0,LSedDFogEvdZPhtwLpSnDYiBeNJsXjgUyi,71007361855274991,0x71DE9106a23F91d153510EA95E4E755d2956Cb32,Litecoin Punk #7 (Inscription #648),https://emblem.finance/nft?id=71007361855274991
8,649,Litecoin Punk #8 (Inscription 649),Litecoin Punk #8. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/a7dac1f3469a084c1c32ae7b0f65aaec9325841f0fc8f2651c3ebe0e499a7bb5i0,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,https://litecoin.earlyordies.com/inscription/a7dac1f3469a084c1c32ae7b0f65aaec9325841f0fc8f2651c3ebe0e499a7bb5i0,LgUyRfi31UMiUyPR1NkPw39PaUQCCG74hL,21193707572166691,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,Litecoin Punk #8 (Inscription #649),https://emblem.finance/nft?id=21193707572166691
9,650,Litecoin Punk #9 (Inscription 650),Litecoin Punk #9. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/b191006f721482e1d97a063f0f7a004944867b73592f7b19c9ee8a5ab14db6e3i0,0xD84ae17505E5f132644fE56B8b77A9D79cf8D927,https://litecoin.earlyordies.com/inscription/b191006f721482e1d97a063f0f7a004944867b73592f7b19c9ee8a5ab14db6e3i0,LKpuRWtfiBQ7bGRfu3hGUAuvVUhTANNWut,46920264390887131,0xD84ae17505E5f132644fE56B8b77A9D79cf8D927,Litecoin Punk #9 (Inscription #650),https://emblem.finance/nft?id=46920264390887131
10,651,Litecoin Punk #10 (Inscription 651),Litecoin Punk #10. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/e15e7f12a1b67d34a8e5672d0fa91bcccc6c43a4439cf605287aaf368b3b6ceci0,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,https://litecoin.earlyordies.com/inscription/e15e7f12a1b67d34a8e5672d0fa91bcccc6c43a4439cf605287aaf368b3b6ceci0,LMcBDP9nWJNvMg5bWDTnf8SkMCXfeFqmHC,52673535408652941,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,Litecoin Punk #10 (Inscription #651),https://emblem.finance/nft?id=52673535408652941
11,669,Litecoin Punk #11 (Inscription 669),Litecoin Punk #11. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/dffbc5042b35cacfdb5c1e6a98ab7ab801bc5cd1bfaf93cce9f3680356063026i0,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,https://litecoin.earlyordies.com/inscription/dffbc5042b35cacfdb5c1e6a98ab7ab801bc5cd1bfaf93cce9f3680356063026i0,LetrDurG6ppdLC7e34zQaBiQeSzvi3o6c1,45361485458326841,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,Litecoin Punk #11 (Inscription #669),https://emblem.finance/nft?id=45361485458326841
12,670,Litecoin Punk #12 (Inscription 670),Litecoin Punk #12. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/08b6bf0729ef096a97551787e9710dc7613aec44191336884e17603148752e1fi0,0xa9ecBF58262CbFc3d43302393Ed8785e58a12d59,https://litecoin.earlyordies.com/inscription/08b6bf0729ef096a97551787e9710dc7613aec44191336884e17603148752e1fi0,LTEJxdmNhNkbAkRvKonkmaNNtSVvPpeLoA,47580113364962821,0xa9ecBF58262CbFc3d43302393Ed8785e58a12d59,Litecoin Punk #12 (Inscription #670),https://emblem.finance/nft?id=47580113364962821
13,671,Litecoin Punk #13 (Inscription 671),Litecoin Punk #13. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/26a6feda4086ca165b6d83900548fac137d203062c5561ff78bae32a18e2542ei0,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,https://litecoin.earlyordies.com/inscription/26a6feda4086ca165b6d83900548fac137d203062c5561ff78bae32a18e2542ei0,LYaGJEnRHTtGB3M88GNJ1sMGGzJZxXieUz,37430005745870341,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,Litecoin Punk #13 (Inscription #671),https://emblem.finance/nft?id=37430005745870341
